"age"	"gen.G2"	"gen.G3"	"gen.G4"	"gen.G5"	"phb.P2"	"phb.P3"	"phb.P4"	"phb.P5"	"tv.T3"	"tv.T4"	"tv.T8"	"tv.T12"	"tv.T16"	"tv.T20"	"tv.T25"	"bre.B2"	"bre.B3"	"bre.B4"	"bre.B5"	"phg.P2"	"phg.P3"	"phg.P4"	"phg.P5"	"men.M2"
8	1302	122	0	0	397	3	0	0								221	13	1	0	153	5	2	1	53
8.25	1439	138	0	0	484	4	0	0								324	20	1	1	219	8	3	1	61
8.5	1587	155	0	0	588	6	0	0								473	31	2	1	313	14	5	2	69
8.75	1746	176	1	0	714	10	0	0	3879	1128	271	34	1	1	0	685	48	3	2	445	24	7	3	79
9	1914	198	1	0	863	15	0	0	4033	1281	311	44	2	2	0	980	75	6	3	628	40	12	4	90
9.25	2097	224	2	0	1040	24	0	1	4187	1450	356	58	3	3	0	1368	116	10	5	876	67	19	6	103
9.5	2312	255	3	0	1247	36	1	1	4361	1644	407	75	4	4	1	1831	179	17	7	1193	112	30	10	119
9.75	2568	292	4	0	1485	55	1	2	4581	1881	469	97	5	5	1	2344	274	30	11	1579	185	48	16	137
10	2858	340	7	1	1762	84	2	3	4884	2187	543	125	8	8	1	2907	416	52	17	2045	304	76	24	162
10.25	3172	403	12	1	2084	127	4	4	5272	2564	635	163	11	12	2	3543	629	88	27	2618	496	122	38	195
10.5	3492	488	19	2	2450	189	8	7	5725	2990	748	211	17	17	3	4277	940	150	42	3320	797	195	60	241
10.75	3807	602	32	4	2858	278	14	11	6226	3455	892	276	24	24	4	5111	1376	253	65	4128	1249	311	94	305
11	4150	758	52	6	3309	407	26	17	6768	3977	1084	364	35	35	6	5992	1948	419	101	4967	1862	492	147	399
11.25	4563	972	85	10	3810	594	49	26	7325	4582	1341	484	51	51	9	6828	2657	674	155	5781	2621	765	228	536
11.5	5108	1267	139	17	4382	867	90	40	7868	5305	1688	648	74	73	13	7573	3479	1043	235	6563	3493	1167	350	736
11.75	5818	1672	228	29	5043	1263	166	63	8361	6116	2146	869	107	105	19	8215	4396	1541	352	7314	4440	1734	532	1028
12	6622	2207	371	48	5777	1824	306	99	8775	6905	2724	1162	153	151	29	8743	5399	2175	519	8010	5425	2481	793	1441
12.25	7423	2877	595	80	6540	2566	555	156	9096	7589	3415	1539	219	215	42	9143	6430	2934	749	8600	6390	3367	1152	1998
12.5	8125	3671	927	131	7275	3466	960	246	9339	8154	4197	2006	311	304	61	9426	7380	3786	1053	9049	7270	4323	1622	2702
